date,open
2020-07-20,3000.20
2020-07-17,3009.00
2020-07-16,2971.06
2020-07-15,3080.23
2020-07-14,3089.00
2020-07-13,3251.06
2020-07-10,3191.76
2020-07-09,3115.99
2020-07-08,3022.61
2020-07-07,3058.55
2020-07-06,2934.97
2020-07-02,2912.01
2020-07-01,2757.99
2020-06-30,2685.07
2020-06-29,2690.01
2020-06-26,2775.06
2020-06-25,2739.55
2020-06-24,2780.00
2020-06-23,2726.02
2020-06-22,2684.50
2020-06-19,2678.08
2020-06-18,2647.01
2020-06-17,2647.50
2020-06-16,2620.00
2020-06-15,2526.60
2020-06-12,2601.21
2020-06-11,2603.50
2020-06-10,2645.00
2020-06-09,2529.44
2020-06-08,2500.20
2020-06-05,2444.51
2020-06-04,2477.43
2020-06-03,2468.01
2020-06-02,2467.00
2020-06-01,2448.00
2020-05-29,2415.94
2020-05-28,2384.33
2020-05-27,2404.99
2020-05-26,2458.00
2020-05-22,2455.01
2020-05-21,2500.00
2020-05-20,2477.87
2020-05-19,2429.83
2020-05-18,2404.35
2020-05-15,2368.52
2020-05-14,2361.01
2020-05-13,2366.80
2020-05-12,2411.85
2020-05-11,2374.70
2020-05-08,2372.14
2020-05-07,2374.78
2020-05-06,2329.44
2020-05-05,2340.00
2020-05-04,2256.38
2020-05-01,2336.80
2020-04-30,2419.84
2020-04-29,2330.01
2020-04-28,2372.10
2020-04-27,2443.20
2020-04-24,2417.00
2020-04-23,2399.98
2020-04-22,2369.00
2020-04-21,2416.61
2020-04-20,2389.95
2020-04-17,2372.33
2020-04-16,2346.00
2020-04-15,2257.68
2020-04-14,2200.47
2020-04-13,2040.00
2020-04-09,2044.30
2020-04-08,2021.00
2020-04-07,2017.11
2020-04-06,1936.00
2020-04-03,1911.15
2020-04-02,1901.64
2020-04-01,1932.97
2020-03-31,1964.35
2020-03-30,1922.83
2020-03-27,1930.86
2020-03-26,1902.00
2020-03-25,1920.69
2020-03-24,1951.50
2020-03-23,1827.75
